geoid,geoid20,year,total_pop
1400000US06037128303,6037128303,2022,3487
1400000US06037128400,6037128400,2022,4241
1400000US06037128500,6037128500,2022,4104
1400000US06037128601,6037128601,2022,5020
1400000US06037128602,6037128602,2022,2863
1400000US06037128703,6037128703,2022,3252
1400000US06037128704,6037128704,2022,2335
1400000US06037128801,6037128801,2022,3740
1400000US06037128802,6037128802,2022,4186
1400000US06037128910,6037128910,2022,4741
1400000US06037131021,6037131021,2022,3423
1400000US06037131022,6037131022,2022,2917
1400000US06037131023,6037131023,2022,2774
1400000US06037131024,6037131024,2022,3984
1400000US06037131100,6037131100,2022,3340
1400000US06037131200,6037131200,2022,3796
1400000US06037131300,6037131300,2022,4502
1400000US06037131400,6037131400,2022,6175
1400000US06037131600,6037131600,2022,5194
1400000US06037131701,6037131701,2022,5297
1400000US06037131702,6037131702,2022,3958
1400000US06037131801,6037131801,2022,3068
1400000US06037131802,6037131802,2022,2481
1400000US06037131900,6037131900,2022,4255
1400000US06037132001,6037132001,2022,2947
1400000US06037132002,6037132002,2022,3707
1400000US06037132101,6037132101,2022,4319
1400000US06037132102,6037132102,2022,5279
1400000US06037132301,6037132301,2022,3689
1400000US06037132302,6037132302,2022,3178
1400000US06037132501,6037132501,2022,4641
1400000US06037132502,6037132502,2022,3565
1400000US06037132700,6037132700,2022,4846
1400000US06037132900,6037132900,2022,3559
1400000US06037133000,6037133000,2022,4373
1400000US06037133101,6037133101,2022,1827
1400000US06037133102,6037133102,2022,3703
1400000US06037134001,6037134001,2022,3715
1400000US06037134002,6037134002,2022,3798
1400000US06037134101,6037134101,2022,5414
1400000US06037134103,6037134103,2022,4584
1400000US06037134104,6037134104,2022,4419
1400000US06037134201,6037134201,2022,4345
1400000US06037134302,6037134302,2022,4287
1400000US06037134303,6037134303,2022,5597
1400000US06037134304,6037134304,2022,3045
1400000US06037134305,6037134305,2022,3840
1400000US06037134306,6037134306,2022,3925
1400000US06037134421,6037134421,2022,4292
1400000US06037134422,6037134422,2022,4933
1400000US06037134423,6037134423,2022,3243
1400000US06037134424,6037134424,2022,2821
1400000US06037134520,6037134520,2022,5263
1400000US06037134521,6037134521,2022,2944
1400000US06037134522,6037134522,2022,4741
1400000US06037134710,6037134710,2022,5531
1400000US06037134720,6037134720,2022,5195
