geoid,geoid20,year,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct
1400000US06037128220,6037128220,2022,2831,574,20.27552,1384,48.887318
1400000US06037128302,6037128302,2022,4769,1416,29.691759,2548,53.428391
1400000US06037128303,6037128303,2022,3445,1076,31.233671,2104,61.07402
1400000US06037128400,6037128400,2022,4241,407,9.5967932,878,20.702665
1400000US06037128500,6037128500,2022,4078,351,8.6071606,748,18.342325
1400000US06037128601,6037128601,2022,5011,881,17.581322,2471,49.311516
1400000US06037128602,6037128602,2022,2859,242,8.4644985,390,13.641133
1400000US06037128703,6037128703,2022,3087,348,11.273081,763,24.716553
1400000US06037128704,6037128704,2022,2335,142,6.0813704,369,15.802998
1400000US06037128801,6037128801,2022,3740,361,9.6524067,714,19.09091
1400000US06037128802,6037128802,2022,4186,170,4.0611563,466,11.132346
1400000US06037128910,6037128910,2022,4728,285,6.0279188,779,16.476311
1400000US06037131021,6037131021,2022,3423,357,10.429448,1653,48.290974
1400000US06037131022,6037131022,2022,2913,446,15.310677,1143,39.2379
1400000US06037131023,6037131023,2022,2774,309,11.13915,1023,36.878155
1400000US06037131024,6037131024,2022,3964,378,9.5358229,1009,25.454086
1400000US06037131100,6037131100,2022,3329,235,7.0591769,889,26.704716
1400000US06037131200,6037131200,2022,3734,416,11.140867,911,24.397429
1400000US06037131300,6037131300,2022,4485,383,8.5395765,1301,29.007803
1400000US06037131400,6037131400,2022,6033,457,7.5750041,1443,23.918449
1400000US06037131600,6037131600,2022,5183,672,12.965464,2348,45.301949
1400000US06037131701,6037131701,2022,5297,935,17.651501,1721,32.490089
1400000US06037131702,6037131702,2022,3894,119,3.0559835,893,22.932716
1400000US06037131801,6037131801,2022,3046,543,17.826658,1537,50.459618
1400000US06037131802,6037131802,2022,2481,49,1.97501,255,10.278113
1400000US06037131900,6037131900,2022,4216,142,3.3681214,539,12.78463
1400000US06037132001,6037132001,2022,2947,382,12.962335,702,23.820835
1400000US06037132002,6037132002,2022,3641,84,2.3070586,970,26.641033
1400000US06037132101,6037132101,2022,4319,1456,33.711506,1977,45.774487
1400000US06037132102,6037132102,2022,5279,745,14.112521,1982,37.544991
1400000US06037132301,6037132301,2022,3614,700,19.36912,1226,33.92363
1400000US06037132302,6037132302,2022,3145,199,6.3275042,1015,32.273449
1400000US06037132501,6037132501,2022,4224,471,11.150568,1289,30.516098
1400000US06037132502,6037132502,2022,3480,585,16.810345,1384,39.770115
1400000US06037132700,6037132700,2022,4823,868,17.997097,2044,42.38026
1400000US06037132900,6037132900,2022,3559,299,8.4012365,919,25.821859
1400000US06037133000,6037133000,2022,4308,751,17.432684,1375,31.917362
1400000US06037133101,6037133101,2022,1827,85,4.6524358,374,20.470716
1400000US06037133102,6037133102,2022,3535,477,13.493635,1471,41.612446
1400000US06037134001,6037134001,2022,3714,479,12.897146,1466,39.472267
1400000US06037134002,6037134002,2022,3797,592,15.591256,1182,31.129839
1400000US06037134101,6037134101,2022,5401,995,18.422514,2413,44.67691
1400000US06037134103,6037134103,2022,4477,1489,33.258881,1695,37.860176
1400000US06037134104,6037134104,2022,4385,831,18.95097,1669,38.061573
1400000US06037134201,6037134201,2022,4342,439,10.110548,1009,23.238138
1400000US06037134302,6037134302,2022,4278,569,13.300608,673,15.73165
1400000US06037134303,6037134303,2022,5483,345,6.2921758,946,17.253328
1400000US06037134304,6037134304,2022,2844,459,16.13924,956,33.614628
1400000US06037134305,6037134305,2022,3840,616,16.041666,1886,49.114582
1400000US06037134306,6037134306,2022,3792,824,21.729958,1759,46.387131
1400000US06037134421,6037134421,2022,4292,139,3.2385833,663,15.447344
1400000US06037134422,6037134422,2022,4933,148,3.0002027,267,5.412528
1400000US06037134423,6037134423,2022,3243,276,8.5106382,564,17.391304
1400000US06037134424,6037134424,2022,2795,117,4.1860466,159,5.6887298
1400000US06037134520,6037134520,2022,5263,1286,24.434732,2897,55.044651
1400000US06037134521,6037134521,2022,2922,736,25.188227,1541,52.73785
1400000US06037134522,6037134522,2022,4741,1171,24.69943,2289,48.280952
1400000US06037134710,6037134710,2022,5504,1440,26.16279,3167,57.53997
1400000US06037134720,6037134720,2022,5195,724,13.936478,1402,26.987488
1400000US06037134801,6037134801,2022,3072,477,15.527344,798,25.976563
1400000US06037134802,6037134802,2022,3117,781,25.056143,1115,35.771576
1400000US06037134901,6037134901,2022,2577,429,16.647264,944,36.631741
1400000US06037134904,6037134904,2022,4608,791,17.165798,1507,32.703995
1400000US06037134905,6037134905,2022,5590,1071,19.159212,1476,26.404293
1400000US06037134906,6037134906,2022,3056,380,12.434555,703,23.003927
1400000US06037134907,6037134907,2022,3589,806,22.45751,1065,29.674004
1400000US06037135102,6037135102,2022,3648,295,8.0866232,698,19.133772
1400000US06037135111,6037135111,2022,4001,329,8.2229443,518,12.946763
1400000US06037135113,6037135113,2022,2951,374,12.67367,768,26.025076
1400000US06037135115,6037135115,2022,3206,131,4.0860887,454,14.160948
1400000US06037135116,6037135116,2022,1477,312,21.123899,389,26.33717
1400000US06037135201,6037135201,2022,3033,457,15.06759,708,23.343225
1400000US06037135202,6037135202,2022,4625,419,9.0594597,749,16.194595
1400000US06037135204,6037135204,2022,4481,115,2.5663915,933,20.821245
1400000US06037135205,6037135205,2022,2050,276,13.463414,548,26.731707
1400000US06037137000,6037137000,2022,5029,385,7.6555977,1175,23.364487
1400000US06037137103,6037137103,2022,5560,862,15.503597,1435,25.809353
1400000US06037137104,6037137104,2022,2416,457,18.915564,571,23.634106
1400000US06037137202,6037137202,2022,3304,378,11.440678,668,20.217918
1400000US06037137203,6037137203,2022,2654,178,6.7068577,334,12.584778
1400000US06037137301,6037137301,2022,2142,46,2.1475258,157,7.3295984
1400000US06037137302,6037137302,2022,4376,307,7.0155392,488,11.151737
1400000US06037137401,6037137401,2022,4493,343,7.6340976,591,13.153795
1400000US06037137402,6037137402,2022,5587,139,2.4879184,771,13.799892
1400000US06037137501,6037137501,2022,5419,757,13.969367,1293,23.860491
1400000US06037137502,6037137502,2022,4358,244,5.5988984,510,11.702616
1400000US06037137504,6037137504,2022,1983,35,1.7650025,112,5.6480079
1400000US06037138000,6037138000,2022,4826,274,5.6775799,640,13.2615
1400000US06037139001,6037139001,2022,5511,392,7.1130466,811,14.716022
1400000US06037139200,6037139200,2022,5946,488,8.2071981,1005,16.902119
1400000US06037139301,6037139301,2022,4150,221,5.3253012,406,9.7831326
1400000US06037139302,6037139302,2022,5181,725,13.993438,1846,35.630188
1400000US06037139303,6037139303,2022,4396,418,9.5086441,1617,36.78344
1400000US06037139401,6037139401,2022,2405,226,9.397089,543,22.577963
