geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count
1400000US06037133102,6037133102,2023,1781,933,52.389999,768,165
1400000US06037134001,6037134001,2023,627,600,95.690002,585,15
1400000US06037134002,6037134002,2023,457,264,57.77,243,21
1400000US06037134101,6037134101,2023,330,304,92.120003,300,4
1400000US06037134103,6037134103,2023,414,388,93.720001,380,8
1400000US06037134104,6037134104,2023,449,390,86.860001,350,40
1400000US06037134302,6037134302,2023,367,278,75.75,258,20
1400000US06037134303,6037134303,2023,484,467,96.489998,454,13
1400000US06037134304,6037134304,2023,959,876,91.349998,827,49
1400000US06037134421,6037134421,2023,547,128,23.4,122,6
1400000US06037134422,6037134422,2023,196,140,71.43,124,16
1400000US06037134423,6037134423,2023,360,132,36.669998,131,1
1400000US06037134520,6037134520,2023,1430,1314,91.889999,1264,50
1400000US06037134522,6037134522,2023,668,598,89.519997,583,15
1400000US06037134720,6037134720,2023,1484,1302,87.739998,1248,54
1400000US06037134801,6037134801,2023,333,308,92.489998,296,12
1400000US06037135102,6037135102,2023,290,171,58.970001,150,21
1400000US06037135202,6037135202,2023,745,132,17.719999,116,16
1400000US06037135204,6037135204,2023,819,210,25.639999,207,3
1400000US06037137000,6037137000,2023,3497,1090,31.17,1023,67
1400000US06037137104,6037137104,2023,610,488,80,473,15
1400000US06037137203,6037137203,2023,516,400,77.519997,390,10
1400000US06037137301,6037137301,2023,567,178,31.389999,175,3
1400000US06037137302,6037137302,2023,1887,693,36.720001,613,80
1400000US06037137401,6037137401,2023,646,159,24.610001,157,2
1400000US06037137402,6037137402,2023,399,82,20.549999,75,7
1400000US06037137501,6037137501,2023,2723,1415,51.959999,1230,185
1400000US06037139001,6037139001,2023,299,74,24.75,67,7
1400000US06037139200,6037139200,2023,276,185,67.029999,170,15
1400000US06037139301,6037139301,2023,541,427,78.93,399,28
1400000US06037139402,6037139402,2023,2673,1049,39.240002,946,103
1400000US06037139502,6037139502,2023,375,226,60.27,216,10
1400000US06037139600,6037139600,2023,510,167,32.75,149,18
1400000US06037139701,6037139701,2023,490,43,8.7799997,42,1
1400000US06037141101,6037141101,2023,595,155,26.049999,144,11
1400000US06037141304,6037141304,2023,478,172,35.98,167,5
1400000US06037141400,6037141400,2023,495,73,14.75,68,5
1400000US06037143200,6037143200,2023,729,415,56.93,377,38
1400000US06037143302,6037143302,2023,1463,760,51.950001,675,85
1400000US06037143700,6037143700,2023,128,47,36.720001,47,0
1400000US06037143801,6037143801,2023,832,91,10.94,87,4
1400000US06037181000,6037181000,2023,362,325,89.779999,286,39
1400000US06037181400,6037181400,2023,724,247,34.119999,219,28
1400000US06037181500,6037181500,2023,759,297,39.130001,271,26
1400000US06037181600,6037181600,2023,2047,985,48.119999,807,178
1400000US06037183101,6037183101,2023,1126,967,85.879997,909,58
1400000US06037183104,6037183104,2023,219,168,76.709999,153,15
1400000US06037183220,6037183220,2023,189,157,83.07,150,7
1400000US06037183401,6037183401,2023,271,218,80.440002,196,22
1400000US06037183402,6037183402,2023,220,183,83.18,175,8
1400000US06037183510,6037183510,2023,1417,1252,88.360001,1166,86
1400000US06037183520,6037183520,2023,224,209,93.300003,202,7
1400000US06037183702,6037183702,2023,170,148,87.059998,137,11
1400000US06037183810,6037183810,2023,350,273,78,264,9
1400000US06037185101,6037185101,2023,452,347,76.769997,326,21
1400000US06037185102,6037185102,2023,343,253,73.760002,241,12
1400000US06037185204,6037185204,2023,417,54,12.95,44,10
1400000US06037185310,6037185310,2023,975,905,92.82,861,44
