geoid,geoid20,year,denom_enrolled,frpl_count,frpl_pct,freemeals_count,reducedmeals_count,food_desert,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct,total_pop
1400000US06037117102,6037117102,2022,374,335,89.57,316,19,no,2481,269,10.842402,585,23.579203,2504
1400000US06037117202,6037117202,2022,2139,1970,92.099998,1885,85,no,2807,251,8.9419308,552,19.665123,2853
1400000US06037117302,6037117302,2022,417,386,92.57,365,21,no,4953,305,6.1578841,542,10.942863,4957
1400000US06037117303,6037117303,2022,287,105,36.59,97,8,no,4423,524,11.847162,800,18.087271,4428
1400000US06037117407,6037117407,2022,516,511,99.029999,502,9,no,3559,1005,28.23827,2339,65.720711,3566
1400000US06037117510,6037117510,2022,511,485,94.910004,409,76,no,3776,610,16.154661,2002,53.01907,3807
1400000US06037117520,6037117520,2022,553,543,98.190002,532,11,no,4570,1714,37.50547,3002,65.689278,4571
1400000US06037117530,6037117530,2022,692,672,97.110001,655,17,no,5963,1672,28.039577,2630,44.105316,5963
1400000US06037119003,6037119003,2022,446,418,93.720001,404,14,no,3830,280,7.3107052,1374,35.874672,3895
1400000US06037119004,6037119004,2022,446,384,86.099998,341,43,no,2768,157,5.6719651,874,31.575144,2768
1400000US06037119201,6037119201,2022,1461,1344,91.989998,1263,81,no,4387,664,15.135628,1321,30.111694,4412
1400000US06037119342,6037119342,2022,491,451,91.849998,432,19,no,2841,398,14.009151,868,30.552622,2850
1400000US06037119802,6037119802,2022,573,505,88.129997,471,34,no,3170,402,12.681388,1284,40.50473,3238
1400000US06037119900,6037119900,2022,786,721,91.730003,635,86,no,4502,135,2.9986672,1446,32.119057,4521
1400000US06037120010,6037120010,2022,1202,1183,98.419998,1160,23,no,2675,216,8.0747662,1084,40.523365,2700
1400000US06037120020,6037120020,2022,550,536,97.449997,524,12,no,4273,834,19.517902,2524,59.068569,4359
1400000US06037120030,6037120030,2022,1560,1497,95.959999,1450,47,no,2614,900,34.429993,1782,68.171387,2614
1400000US06037120107,6037120107,2022,452,443,98.010002,434,9,no,4044,1277,31.577646,2924,72.304649,4044
1400000US06037120108,6037120108,2022,810,786,97.040001,772,14,no,4479,960,21.433355,2001,44.675152,4511
1400000US06037120300,6037120300,2022,259,246,94.980003,237,9,no,5259,879,16.714205,1829,34.778477,5299
1400000US06037120400,6037120400,2022,402,363,90.300003,345,18,no,6000,645,10.75,2425,40.416668,6170
